mes_ano,metodo_pagamento,status_finalizacao,qtd_total,tpv,user_id
2024-08,CreditCard,integrado,25,5400.20,1
2024-07,CreditCard,cancelado,133,14704.70,1
2024-08,CreditCard,cancelado,130,14830.37,1
2024-07,CreditCard,recusado_por_risco,2,259.80,1
2024-09,CreditCard,recusado_por_risco,4,309.60,1
2024-07,CreditCard,integrado,36,5345.00,1
2024-09,CreditCard,cancelado,85,8662.46,1
2024-09,CreditCard,integrado,13,2512.09,1
2024-08,CreditCard,recusado_por_risco,1,179.80,1
2024-08,Pix,cancelado,27,3447.64,2
2024-08,Pix,integrado,29,3691.95,2
2024-09,CreditCard,cancelado,28,5295.38,2
2024-07,CreditCard,cancelado,17,2973.68,2
2024-09,Pix,integrado,26,4693.73,2
2024-07,Pix,integrado,50,7182.58,2
2024-07,Pix,cancelado,42,5684.20,2
2024-09,Pix,cancelado,43,5620.88,2
2024-08,CreditCard,integrado,6,1078.40,2
2024-08,CreditCard,cancelado,26,4083.24,2
2024-07,CreditCard,integrado,26,3749.62,2
2024-09,CreditCard,integrado,19,4464.29,2
2024-09,CreditCard,recusado_por_risco,2,259.81,2
2024-07,Boleto,integrado,6,775.18,2
2024-09,Boleto,integrado,4,1814.62,2
2024-08,CreditCard,integrado,7,1139.68,3
2024-09,Pix,integrado,2,235.15,3
2024-08,CreditCard,cancelado,4,936.60,3
2024-08,Pix,integrado,9,1175.15,3
2024-09,CreditCard,integrado,5,773.59,3
2024-07,CreditCard,integrado,6,1040.06,3
2024-08,Boleto,integrado,1,129.90,3
2024-07,Pix,cancelado,1,235.00,3
2024-07,Pix,integrado,5,552.45,3
2024-08,Pix,cancelado,3,480.25,3
2024-07,CreditCard,cancelado,1,147.44,3
2024-07,Boleto,integrado,2,199.80,3
2024-09,Pix,cancelado,2,215.40,3
2024-08,CreditCard,cancelado,8,1849.02,4
2024-08,CreditCard,integrado,38,10513.83,4
2024-08,CreditCard,recusado_por_risco,3,1376.80,4
2024-07,CreditCard,integrado,80,21934.47,4
2024-08,Pix,integrado,40,10280.70,4
2024-09,CreditCard,integrado,25,6495.45,4
2024-09,CreditCard,cancelado,9,2709.86,4
2024-07,Pix,integrado,75,19350.53,4
2024-09,Pix,integrado,37,8571.87,4
2024-09,Pix,cancelado,6,1587.03,4
2024-07,Pix,cancelado,15,3990.04,4
2024-08,Pix,cancelado,11,2483.63,4
2024-07,CreditCard,cancelado,28,8740.69,4
2024-07,CreditCard,recusado_por_risco,3,776.81,4
2024-09,CreditCard,recusado_por_risco,1,279.70,4
2024-09,CreditCard,integrado,118,33311.00,5
2024-08,Pix,integrado,127,30182.32,5
2024-08,Boleto,integrado,9,2365.84,5
2024-08,Pix,cancelado,45,9024.21,5
2024-08,CreditCard,integrado,166,43874.28,5
2024-08,CreditCard,cancelado,52,12236.01,5
2024-07,Pix,cancelado,30,6385.05,5
2024-07,CreditCard,cancelado,1,270.62,5
2024-07,CreditCard,integrado,38,15638.20,5
2024-09,CreditCard,cancelado,36,10332.41,5
2024-07,Boleto,integrado,13,2797.91,5
2024-09,Boleto,integrado,4,686.00,5
2024-07,Pix,integrado,85,20322.77,5
2024-09,Pix,cancelado,13,2163.77,5
2024-09,Pix,integrado,65,13657.52,5
2024-07,CreditCard,integrado,249,66690.68,6
2024-07,CreditCard,recusado_por_risco,2,681.21,6
2024-09,,cancelado,36,4652.60,6
2024-07,Pix,integrado,186,40715.26,6
2024-09,Pix,integrado,177,39911.37,6
2024-08,Boleto,integrado,36,8712.45,6
2024-09,CreditCard,cancelado,98,27031.39,6
2024-09,CreditCard,integrado,268,73317.35,6
2024-07,CreditCard,cancelado,66,20603.14,6
2024-08,CreditCard,cancelado,43,15752.78,6
2024-07,,cancelado,26,5078.45,6
2024-07,Boleto,integrado,28,5461.05,6
2024-08,Pix,cancelado,101,26525.22,6
2024-08,Pix,integrado,246,62426.06,6
2024-09,Boleto,integrado,44,9465.65,6
2024-09,CreditCard,recusado_por_risco,7,1479.09,6
2024-07,Pix,cancelado,64,14249.36,6
2024-09,Pix,cancelado,63,14847.87,6
2024-08,CreditCard,integrado,311,85624.69,6
2024-08,,cancelado,34,6074.83,6
2024-08,CreditCard,recusado_por_risco,5,954.56,6
2024-09,CreditCard,integrado,29,21589.50,7
2024-08,Pix,cancelado,10,5722.02,7
2024-07,CreditCard,integrado,76,52523.83,7
2024-08,CreditCard,cancelado,20,18454.51,7
2024-09,CreditCard,cancelado,14,11013.24,7
2024-07,CreditCard,cancelado,41,25449.26,7
2024-08,Pix,integrado,17,12071.51,7
2024-08,CreditCard,integrado,51,38110.68,7
2024-07,Pix,cancelado,17,10106.43,7
2024-07,Pix,integrado,33,16914.52,7
2024-09,Pix,cancelado,4,1805.00,7
2024-09,CreditCard,recusado_por_risco,2,2340.04,7
2024-07,CreditCard,recusado_por_risco,1,702.91,7
2024-09,Pix,integrado,12,7466.60,7
2024-07,Boleto,integrado,6,1606.60,8
2024-07,CreditCard,cancelado,6,1996.47,8
2024-08,CreditCard,cancelado,7,1290.19,8
2024-08,Pix,cancelado,10,6427.15,8
2024-08,Pix,integrado,8,1293.20,8
2024-07,Pix,integrado,15,3024.40,8
2024-07,Pix,cancelado,3,559.50,8
2024-08,CreditCard,integrado,9,1856.46,8
2024-08,Boleto,integrado,2,294.90,8
2024-07,CreditCard,integrado,11,2102.64,8
2024-08,CreditCard,recusado_por_risco,1,197.90,8
2024-08,CreditCard,integrado,116,18964.38,9
2024-07,Pix,cancelado,15,2145.00,9
2024-09,Pix,cancelado,19,3057.00,9
2024-08,CreditCard,recusado_por_risco,3,503.16,9
2024-09,Pix,integrado,6,910.00,9
2024-07,CreditCard,integrado,35,5317.36,9
2024-07,CreditCard,cancelado,23,3591.25,9
2024-08,CreditCard,cancelado,86,14476.50,9
2024-07,Pix,integrado,12,1672.00,9
2024-08,Boleto,integrado,3,451.00,9
2024-09,CreditCard,integrado,11,1761.81,9
2024-09,CreditCard,cancelado,25,4487.42,9
2024-08,Pix,integrado,5,942.00,9
2024-08,Pix,cancelado,8,1178.00,9
2024-07,CreditCard,recusado_por_risco,1,137.00,9
2024-07,Pix,cancelado,4,1304.04,10
2024-08,CreditCard,cancelado,3,1887.71,10
2024-09,CreditCard,cancelado,1,141.54,10
2024-07,CreditCard,integrado,2,680.83,10
2024-08,Pix,integrado,2,929.94,10
2024-09,Pix,cancelado,2,1060.80,10
2024-08,Pix,cancelado,1,301.00,10
2024-09,Pix,integrado,33,4833.98,11
2024-07,CreditCard,cancelado,25,4641.34,11
2024-07,CreditCard,integrado,67,11533.97,11
2024-07,Pix,cancelado,89,12711.43,11
2024-08,Boleto,integrado,22,3019.11,11
2024-07,Boleto,integrado,49,7415.40,11
2024-08,CreditCard,integrado,69,11030.89,11
2024-09,Pix,cancelado,21,3492.96,11
2024-09,CreditCard,integrado,24,4220.26,11
2024-08,CreditCard,cancelado,21,3074.19,11
2024-09,Boleto,integrado,7,1298.62,11
2024-08,Pix,cancelado,64,9135.09,11
2024-08,Pix,integrado,84,11509.30,11
2024-07,Pix,integrado,106,14853.66,11
2024-09,CreditCard,cancelado,5,1098.06,11
2024-07,CreditCard,integrado,26,6653.70,12
2024-08,CreditCard,integrado,31,8204.74,12
2024-08,Pix,integrado,28,4119.80,12
2024-09,Boleto,integrado,2,289.80,12
2024-09,Pix,cancelado,3,254.70,12
2024-07,Pix,cancelado,6,849.40,12
2024-09,CreditCard,cancelado,10,2347.50,12
2024-08,CreditCard,cancelado,7,2393.22,12
2024-09,CreditCard,integrado,13,2812.17,12
2024-09,Pix,integrado,13,2331.10,12
2024-07,CreditCard,cancelado,16,4422.90,12
2024-07,Boleto,integrado,3,708.90,12
2024-07,Pix,integrado,26,3913.00,12
2024-08,Pix,cancelado,8,1234.50,12
2024-08,Boleto,integrado,1,144.90,12
2024-09,Pix,integrado,35,11816.30,13
2024-07,Pix,cancelado,36,11362.20,13
2024-09,CreditCard,cancelado,53,22020.05,13
2024-09,CreditCard,integrado,134,59024.09,13
2024-09,CreditCard,recusado_por_risco,3,961.80,13
2024-08,CreditCard,integrado,119,49060.72,13
2024-07,Pix,integrado,72,19689.10,13
2024-08,Pix,cancelado,18,6481.10,13
2024-08,Boleto,integrado,12,4474.80,13
2024-07,Boleto,integrado,17,5902.10,13
2024-08,CreditCard,cancelado,49,21892.42,13
2024-09,Boleto,integrado,12,4774.80,13
2024-07,CreditCard,integrado,194,72756.56,13
2024-07,CreditCard,cancelado,84,38097.73,13
2024-08,Pix,integrado,45,12081.10,13
2024-07,CreditCard,recusado_por_risco,6,2435.02,13
2024-09,Pix,cancelado,18,10643.30,13
2024-08,CreditCard,recusado_por_risco,4,1785.49,13
2024-09,CreditCard,cancelado,9,744.96,14
2024-07,CreditCard,cancelado,28,2068.90,14
2024-08,Pix,integrado,53,3430.70,14
2024-08,Boleto,integrado,19,1413.78,14
2024-07,Pix,integrado,134,9698.64,14
2024-08,Pix,cancelado,26,1872.88,14
2024-09,Pix,cancelado,25,1732.62,14
2024-07,Pix,cancelado,58,4000.57,14
2024-08,CreditCard,integrado,40,2903.12,14
2024-07,CreditCard,integrado,71,4983.07,14
2024-07,Boleto,integrado,26,1966.30,14
2024-09,CreditCard,integrado,17,2008.30,14
2024-07,CreditCard,recusado_por_risco,2,103.81,14
2024-09,Boleto,integrado,2,195.70,14
2024-08,CreditCard,cancelado,18,1775.02,14
2024-09,Pix,integrado,28,2480.61,14
2024-07,Boleto,integrado,11,6233.82,15
2024-07,Pix,integrado,89,38129.09,15
2024-07,Pix,cancelado,13,6460.79,15
2024-09,Pix,cancelado,4,1809.66,15
2024-08,CreditCard,cancelado,8,4918.54,15
2024-08,Pix,integrado,22,8446.97,15
2024-08,Pix,cancelado,4,2250.24,15
2024-08,CreditCard,integrado,46,27625.84,15
2024-08,Boleto,integrado,3,2012.03,15
2024-09,Pix,integrado,6,3541.64,15
2024-09,CreditCard,integrado,5,1992.70,15
2024-07,CreditCard,integrado,97,44558.18,15
2024-07,CreditCard,cancelado,26,17284.51,15
2024-08,CreditCard,recusado_por_risco,1,917.63,15
2024-09,CreditCard,cancelado,1,533.76,15
2024-08,Pix,cancelado,20,4481.25,16
2024-07,CreditCard,cancelado,29,6361.73,16
